time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-17T23:26:32.998Z,16.7212,-93.9254,113.09,4.4,mb,,157,1.77,0.65,us,us6000fvij,2021-10-17T23:42:09.040Z,"12 km W of Emiliano Zapata, Mexico",earthquake,6.4,15,0.112,23,reviewed,us,us
2021-10-17T22:58:40.990Z,19.1995,-155.435333333333,35.33,3.29,ml,55,137,,0.11,hv,hv72760287,2021-10-18T00:05:52.469Z,"4 km E of Pāhala, Hawaii",earthquake,0.41,0.5,0.239059598121337,38,reviewed,hv,hv
2021-10-17T21:59:51.842Z,28.7067,138.1824,516.9,5.1,mww,,67,3.888,0.68,us,us6000fvi9,2021-10-17T22:11:51.040Z,"Bonin Islands, Japan region",earthquake,9.8,7.8,0.098,10,reviewed,us,us
2021-10-17T21:41:06.870Z,36.2121667,-117.8643333,2.71,2.69,ml,24,53,0.0947,0.15,ci,ci39836215,2021-10-17T21:52:16.730Z,"15km ESE of Olancha, CA",earthquake,0.28,1.04,0.129,25,automatic,ci,ci
2021-10-17T20:37:02.044Z,79.5194,4.317,10,4.7,mb,,49,1.557,1.13,us,us6000fvhw,2021-10-17T20:58:48.040Z,"283 km WNW of Longyearbyen, Svalbard and Jan Mayen",earthquake,3.8,1.9,0.058,89,reviewed,us,us
2021-10-17T20:17:14.370Z,33.99,-117.1773333,14.24,2.45,ml,84,21,0.04268,0.21,ci,ci39836167,2021-10-17T20:47:19.074Z,"7km S of Redlands, CA",earthquake,0.19,0.42,0.178,24,automatic,ci,ci
2021-10-17T20:13:29.706Z,41.781,19.6552,10,4.4,mb,,36,0.46,1.12,us,us6000fvhn,2021-10-18T00:01:32.438Z,"1 km ESE of Lezhë, Albania",earthquake,5.8,1.9,0.134,17,reviewed,us,us
2021-10-17T20:11:58.726Z,36.1397,70.7078,93.18,4.5,mb,,83,0.989,0.83,us,us6000fvhr,2021-10-17T20:32:06.040Z,"81 km S of Jurm, Afghanistan",earthquake,7,5.8,0.097,31,reviewed,us,us
2021-10-17T19:32:23.192Z,55.0572,-157.5412,19.3,3.1,ml,,,,0.76,ak,ak021dbxcts3,2021-10-17T20:52:48.271Z,"138 km SE of Perryville, Alaska",earthquake,,5.8,,,reviewed,ak,ak
2021-10-17T19:27:11.506Z,55.0355,-157.5925,24.6,4.3,ml,,,,0.51,ak,ak021dbxbor4,2021-10-17T20:49:07.613Z,"138 km SE of Perryville, Alaska",earthquake,,4,,,reviewed,ak,ak
2021-10-17T19:00:11.081Z,31.71088838,-104.0220239,7.802587891,3.4,ml,17,67,0.02264182477,0.1,tx,tx2021ujlz,2021-10-17T19:18:04.040Z,"40 km W of Mentone, Texas",earthquake,0.9990955017,0.6656332117000001,0.2,7,reviewed,tx,tx
2021-10-17T17:50:50.158Z,55.8511,113.3817,10,4.6,mb,,110,7.643,1.11,us,us6000fvgz,2021-10-17T18:35:46.040Z,"33 km S of Severomuysk, Russia",earthquake,10.3,1.9,0.081,45,reviewed,us,us
2021-10-17T17:39:15.124Z,49.2389,155.957,35,5.2,mb,,124,4.026,0.69,us,us6000fvgx,2021-10-17T18:08:56.040Z,"160 km S of Severo-Kuril’sk, Russia",earthquake,10.1,1.9,0.033,303,reviewed,us,us
2021-10-17T16:58:41.349Z,31.71480542,-104.0190813,7.776879883,2.9,ml,11,65,0.02006011003,0.2,tx,tx2021ujhz,2021-10-17T19:08:02.040Z,"39 km W of Mentone, Texas",earthquake,1.104911921,0.6714921055,0.1,6,reviewed,tx,tx
2021-10-17T16:56:42.320Z,-24.0947,-67.1943,187.96,4,mb,,83,1.452,0.74,us,us6000fvge,2021-10-17T19:06:45.040Z,"90 km W of San Antonio de los Cobres, Argentina",earthquake,11.4,15,0.212,7,reviewed,us,us
2021-10-17T16:14:22.609Z,-50.5557,-73.2166,4.97,4.4,mb,,87,0.906,0.84,us,us6000fvg9,2021-10-17T18:52:04.040Z,"70 km WSW of El Calafate, Argentina",earthquake,6.7,4.7,0.134,20,reviewed,us,us
2021-10-17T16:06:45.033Z,59.9996,-140.1691,7.9,2.5,ml,,,,0.91,ak,ak021dbvez08,2021-10-17T18:38:21.040Z,"56 km NNW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-10-17T15:57:37.710Z,18.0065,-66.822,16,2.89,md,13,149,0.2188,0.11,pr,pr2021290010,2021-10-17T18:16:12.541Z,"1 km NNW of Indios, Puerto Rico",earthquake,0.41,0.57,0.23,6,reviewed,pr,pr
2021-10-17T15:57:33.609Z,-14.8556,168.0208,10,4.9,mb,,76,0.984,1.19,us,us6000fvg6,2021-10-17T17:33:13.040Z,"104 km ENE of Port-Olry, Vanuatu",earthquake,6.5,1.9,0.079,54,reviewed,us,us
2021-10-17T15:52:11.040Z,19.1835,-155.482666666667,37.88,3.83,ml,52,76,,0.11,hv,hv72759882,2021-10-17T23:12:25.524Z,"2 km S of Pāhala, Hawaii",earthquake,0.55,0.63,0.212433705174736,41,reviewed,hv,hv
2021-10-17T15:49:31.512Z,41.0043,142.1156,67.67,4.8,mb,,112,0.825,0.34,us,us6000fvg0,2021-10-17T18:50:22.641Z,"70 km ENE of Misawa, Japan",earthquake,8.7,6,0.033,278,reviewed,us,us
2021-10-17T15:17:06.254Z,49.3006,155.9334,57.35,4.5,mb,,134,3.971,0.41,us,us6000fvfy,2021-10-17T16:39:41.040Z,"153 km S of Severo-Kuril’sk, Russia",earthquake,9.6,7,0.065,70,reviewed,us,us
2021-10-17T15:02:11.211Z,-2.041,125.7709,23.48,4.6,mb,,68,3.158,0.71,us,us6000fvfr,2021-10-17T16:04:21.040Z,"Pulau-Pulau Sula, Indonesia",earthquake,7,5.6,0.093,38,reviewed,us,us
